WMU,Year,Active_Hunters,Antlered_Harvest,Antlerless_Harvest,Total_Harvest
1C,2009,0,0,0,0
1C,2010,0,0,0,0
1C,2011,107,0,0,0
1C,2012,0,0,0,0
1C,2013,41,0,0,0
1C,2014,65,0,0,0
1C,2015,40,0,0,0
1C,2016,23,7,0,7
1C,2017,56,0,0,0
1C,2018,66,3,0,3
2,2009,51,0,0,0
2,2010,86,0,0,0
2,2011,113,0,0,0
2,2012,30,0,0,0
2,2013,48,2,0,2
2,2014,9,0,0,0
2,2015,24,0,0,0
2,2016,72,0,0,0
2,2017,167,0,0,0
2,2018,57,23,0,23
3,2008,457,99,47,146
3,2009,506,80,37,117
3,2010,339,63,40,103
3,2011,523,36,15,51
3,2012,238,18,42,60
3,2013,386,38,25,63
3,2014,244,19,0,19
3,2015,214,4,6,10
3,2016,345,5,3,8
3,2017,335,13,6,19
3,2018,305,2,0,2
4,2008,194,5,0,5
4,2009,169,21,0,21
4,2010,180,32,2,34
4,2011,102,21,0,21
4,2012,198,31,5,36
4,2013,145,3,6,9
4,2014,209,2,0,2
4,2015,188,3,2,5
4,2016,230,0,3,3
4,2017,68,0,2,2
4,2018,121,0,0,0
5,2008,1207,228,193,421
5,2009,1398,249,230,479
5,2010,1100,215,258,473
5,2011,1255,216,200,416
5,2012,1399,349,314,663
5,2013,1392,168,108,276
5,2014,925,73,89,162
5,2015,995,46,44,90
5,2016,979,39,43,82
5,2017,739,70,103,173
5,2018,843,58,29,87
6,2008,254,20,46,66
6,2009,251,40,30,70
6,2010,184,15,46,61
6,2011,181,14,39,53
6,2012,270,73,61,134
6,2013,236,6,41,47
6,2014,256,27,49,76
6,2015,291,56,0,56
6,2016,192,11,23,34
6,2017,294,5,13,18
6,2018,218,7,2,9
7A,2008,146,20,3,23
7A,2009,59,16,5,21
7A,2010,53,16,0,16
7A,2011,109,19,10,29
7A,2012,70,30,0,30
7A,2013,130,48,11,59
7A,2014,104,21,0,21
7A,2015,100,48,0,48
7A,2016,93,30,2,32
7A,2017,104,37,8,45
7A,2018,95,10,7,17
7B,2008,1981,833,1111,1944
7B,2009,1887,797,625,1422
7B,2010,2048,841,833,1674
7B,2011,1624,348,571,919
7B,2012,2062,856,903,1759
7B,2013,1858,481,527,1008
7B,2014,1802,472,333,805
7B,2015,1556,325,234,559
7B,2016,1687,467,263,730
7B,2017,1731,489,336,825
7B,2018,1510,477,310,787
8,2008,1394,571,635,1206
8,2009,1352,601,453,1054
8,2010,1394,624,592,1216
8,2011,1475,543,605,1148
8,2012,1552,608,696,1304
8,2013,1587,607,693,1300
